X,Y,landmarkid,landmarkco,landmarkna,landmarkad,address
121.18253,24.70532403,1.00E+12,301,內灣火車站,1000408,新竹縣橫山鄉中正路6號
121.136434,24.72065403,1.00E+12,301,九讚頭火車站,1000408,新竹縣橫山鄉中豐路2段286巷29號
120.8766625,24.71805806,1.00E+12,301,崎頂火車站,1000504,苗栗縣竹南鎮崎頂里北戶路55號
121.154788,24.71691196,1.00E+12,301,合興火車站,1000408,新竹縣橫山鄉中山街一段17號
121.116509,24.72060103,1.00E+12,301,橫山火車站,1000408,新竹縣橫山鄉橫山村橫山路97號
121.0746527,24.72102118,1.00E+12,301,上員火車站,1000402,新竹縣竹東鎮上員里(無站房)
121.094737,24.73819299,1.00E+12,301,竹東火車站,1000402,新竹縣竹東鎮雞林里東林路196號
121.758012,24.75462503,1.00E+12,301,宜蘭火車站,1000201,宜蘭縣宜蘭市和睦里光復路1號
120.913899,24.76315401,1.00E+12,301,香山火車站,1001803,新竹市香山區朝山里中華路五段347巷2弄27號
121.05554,24.77795297,1.00E+12,301,上員火車站,1000402,新竹縣竹東鎮上員里
121.0208811,24.78704066,1.00E+12,301,新莊火車站,1001801,新竹市新莊里關東路310號
121.0364811,24.80841348,1.00E+12,301,六家火車站(六家線),1000401,新竹縣竹北市復興三路2段229號
120.985171,24.80953304,1.00E+12,301,北新竹火車站,1001801,新竹市中華路1段291之2號
121.009439,24.83913102,1.00E+12,301,竹北火車站,1000401,新竹縣竹北市竹義里和平街59號
121.8091191,24.84397603,1.00E+12,301,頂埔火車站,1000204,宜蘭縣頭城鎮下埔里下埔路4-8號
120.99681,24.869805,1.00E+12,301,新豐火車站,1000406,新竹縣新豐鄉員山村新興路202號
121.845724,24.88386096,1.00E+12,301,外澳火車站,1000204,宜蘭縣頭城鎮外澳里濱海路二段217號
121.8688919,24.90482107,1.00E+12,301,龜山火車站,1000204,宜蘭縣頭城鎮更新里濱海路三段261號
121.889987,24.93843104,1.00E+12,301,大溪火車站,1000204,宜蘭縣頭城鎮大溪里濱海路五段63號
121.3553749,24.95429994,6.50E+12,301,鶯歌火車站,6500008,新北市鶯歌區東鶯里文化路68號
121.9224651,24.96675009,1.00E+12,301,大里火車站,1000204,宜蘭縣頭城鎮大里里濱海路六段326號
121.392798,24.97255099,6.50E+12,301,山佳火車站,6500007,新北市樹林區中山里山佳街28號
121.4461477,25.00844548,6.50E+12,301,浮洲火車站,6500001,新北市板橋區僑中二街156號
121.463374,25.01433398,6.50E+12,301,台北運務段,6500001,新北市板橋區縣民大道2段7號1A樓
121.723693,25.02387597,6.50E+12,301,菁桐火車站,6500024,新北市平溪區菁桐街52號
121.5003419,25.03336294,6.30E+12,301,萬華火車站(西站),6300007,台北市萬華區富福里康定路382號
121.763399,25.03445406,6.50E+12,301,望古火車站,6500024,新北市平溪區
121.866466,25.03857802,6.50E+12,301,雙溪火車站,6500025,新北市雙溪區新基村朝陽街1號
121.5171879,25.04737393,6.30E+12,301,台北火車站,6300005,台北市中正區黎明里北平西路3號
121.579563,25.04938805,6.30E+12,301,松山火車站,6300001,台北市信義區慈祐里松山路11號
121.85196,25.05873494,6.50E+12,301,牡丹火車站,6500025,新北市雙溪區
121.652423,25.06408502,6.50E+12,301,汐科火車站,6500011,新北市汐止區大同路二段182號
121.662004,25.06872006,6.50E+12,301,汐止火車站,6500011,新北市汐止區信望里信義路1號
121.827421,25.08696705,6.50E+12,301,侯硐火車站,6500012,新北市瑞芳區光復里柴寮路70號
121.7144569,25.09340319,1.00E+12,301,七堵火車站,1001702,基隆市七堵區長興里東新街2號
121.7619089,25.10273704,6.50E+12,301,四腳亭火車站,6500012,新北市瑞芳區吉慶里中央路65號
121.729086,25.10838107,1.00E+12,301,八堵火車站,1001703,基隆市暖暖區八南里八堵路142號
121.741999,25.1229771,1.00E+12,301,三坑火車站,1001704,基隆市仁愛區龍安街206號
121.739452,25.13226503,1.00E+12,301,基隆火車站,1001705,基隆市仁愛區文昌里港西街5號
121.032624,24.78137011,1.00E+12,301,竹中火車站,1000402,新竹縣竹東鎮頭重里竹中路6號
121.762664,24.78675703,1.00E+12,301,四城火車站,1000205,宜蘭縣礁溪鄉吳沙村站前路24號
121.1673349,24.71555998,1.00E+12,301,富貴火車站,1000408,新竹縣橫山鄉
121.775233,24.69453395,1.00E+12,301,中里火車站,1000209,宜蘭縣五結鄉
121.8228689,24.61536597,1.00E+12,301,新馬火車站,1000203,宜蘭縣蘇澳鎮
121.7753329,24.82699698,1.00E+12,301,礁溪火車站,1000205,宜蘭縣礁溪鄉德陽村溫泉路1號
120.708237,24.56483503,1.00E+12,301,白沙屯火車站,1000503,苗栗縣通霄鎮白西里131號
120.706116,24.21273894,6.60E+12,301,潭子火車站,6600017,台中市潭子區潭子街一段31巷113號
120.7228739,24.25416306,6.60E+12,301,豐原火車站,6600009,台中市豐原區中正路1號
121.0440571,24.90287605,1.00E+12,301,湖口火車站,1000405,新竹縣湖口鄉仁勢村中山路二段121號
121.4248051,24.99119599,6.50E+12,301,樹林火車站,6500007,新北市樹林區樹北里鎮前街112號
121.7401251,25.02561698,6.50E+12,301,平溪火車站,6500024,新北市平溪區
120.74182,24.33116601,6.60E+12,301,泰安火車站,6600015,台中市后里區安眉路37-12號
121.606943,25.05368301,6.30E+12,301,南港火車站,6300009,台北市南港區南港路一段313號
121.8059739,25.10828599,6.50E+12,301,瑞芳火車站,6500012,新北市瑞芳區龍潭里明燈路三段82號
121.136231,24.72060401,1.00E+12,301,九讚頭火車站,1000408,新竹縣橫山鄉中豐路二段286巷29號
121.774166,24.70533701,1.00E+12,301,二結火車站,1000209,宜蘭縣五結鄉三興村復興中路37號
121.944725,25.01593099,6.50E+12,301,福隆火車站,6500026,新北市貢寮區福隆村福隆街2號
121.2582179,24.97279901,1.00E+12,301,內壢火車站,1000302,桃園縣中壢市中原里中華路一段267號
120.2721701,22.90698278,6.70E+12,301,長榮大學火車站,6700028,台南市歸仁區大潭里長榮路一段200巷72弄126號
120.4484539,23.4998438,1.00E+12,301,嘉北火車站,1002001,嘉義市東區後湖里保健街110號
120.2863545,22.9234347,6.70E+12,301,沙崙火車站,6700028,台南縣歸仁區沙崙里9鄰歸仁大道102號
